CIM10;;"SFMU
SFMU";REGROUPEMENTS CIM10 FEDORU;;
A073;Infection à Isospora;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A078;Autres maladies intestinales précisées, à protozoaires;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A079;Maladie intestinale à protozoaires, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A08;Infections virales intestinales et autres infections intestinales précisées;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A080;Entérite à rotavirus;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A081;Gastro-entéropathie (aiguë) à l'agent de Norwalk;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A082;Entérite à adénovirus;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A083;Autres entérites virales;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A084;Infections intestinales virales, sans précision;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A085;Autres infections intestinales précisées;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A09;Autres gastroentérites et colites d'origine infectieuse et non précisée;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A090;Gastroentérites et colites d’origine infectieuse, autres et non précisées;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A099;Gastroentérites et colites d’origine non précisée;OUI;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A15;Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A150;Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture;OUI;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A151;Tuberculose pulmonaire, confirmée par culture seulement;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A152;Tuberculose pulmonaire, avec confirmation histologique;OUI;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A153;Tuberculose pulmonaire, avec confirmation, moyen non précisé;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A154;Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;autre atteinte des voies aériennes inférieures
A155;Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Laryngite, trachéite et autre atteinte laryngée
A156;Pleurésie tuberculeuse, avec confirmation bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pleurésie et épanchement pleural
A157;Primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A158;Autres formes de tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A159;Tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A16;Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A160;Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A161;Tuberculose pulmonaire, sans examen bactériologique et histologique;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A162;Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique);OUI;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A163;Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique);non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A164;Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique);non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Laryngite, trachéite et autre atteinte laryngée
A165;Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique);non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pleurésie et épanchement pleural
A167;Primo-infection tuberculeuse de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique);non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A168;Autres formes de tuberculose de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique);non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A169;Tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique);non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A17;Tuberculose du système nerveux;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A170;Méningite tuberculeuse (G01*);OUI;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A171;Tuberculome méningé (G07*);non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A178;Autres formes de tuberculose du système nerveux;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A179;Tuberculose du système nerveux, sans précision (G99.8*);non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A18;Tuberculose d'autres organes;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A180;Tuberculose des os et des articulations;non;Médico-chirurgical;Douleurs de membre, rhumatologie, orthopédie, SNP;autre rhumato et syst nerveux périphérique
A181;Tuberculose de l'appareil génito-urinaire;non;Médico-chirurgical;Douleurs pelviennes, pathologies uro-génitales;autre affection uro-génitale
A182;Adénopathie tuberculeuse périphérique;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A183;Tuberculose de l'intestin, du péritoine et des ganglions mésentériques;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;autres pathologies digestives et alimentaires
A184;Tuberculose de la peau et du tissu cellulaire sous-cutané;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A185;Tuberculose de l'oeil;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Douleur oculaire, conjonctivites, autre ophtalmo
A186;Tuberculose de l'oreille;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Otalgie, otites et autre pathologies otologiques
A187;Tuberculose des surrénales (E35.1*);non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A188;Tuberculose d'autres organes précisés;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A19;Tuberculose miliaire;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A190;Tuberculose miliaire aiguë, localisation unique et précisée;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A191;Tuberculose miliaire aiguë, sièges multiples;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A192;Tuberculose miliaire aiguë, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A198;Autres tuberculoses miliaires;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A199;Tuberculose miliaire, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A20;Peste;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A200;Peste bubonique;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A201;Peste cutanée;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A202;Peste pulmonaire;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A203;Peste méningée;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A207;Peste septique;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A208;Autres formes de peste;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A209;Peste, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A21;Tularémie;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A210;Tularémie ulcéro-glandulaire;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A211;Tularémie oculo-glandulaire;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Douleur oculaire, conjonctivites, autre ophtalmo
A212;Tularémie pulmonaire;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A213;Tularémie gastro-intestinale;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A217;Tularémie généralisée;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A218;Autres formes de tularémie;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A219;Tularémie, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A22;Charbon;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A220;Charbon cutané;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A221;Charbon pulmonaire;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A222;Charbon gastro-intestinal;non;Médico-chirurgical;Douleurs abdominales, pathologies digestives;Diarrhée et gastro-entérite
A227;Sepsis charbonneux;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A228;Autres formes de charbon;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A229;Charbon, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A23;Brucellose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A230;Brucellose à Brucella melitensis;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A231;Brucellose à Brucella abortus;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A232;Brucellose à Brucella suis;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A233;Brucellose à Brucella canis;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A238;Autres brucelloses;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A239;Brucellose, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A24;Morve et mélioïdose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A240;Morve;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A241;Mélioïdose aiguë et galopante;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A242;Mélioïdose subaiguë et chronique;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A243;Autres mélioïdoses;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A244;Mélioïdose, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A25;Fièvres causées par morsure de rat;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A250;Spirillose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A251;Streptobacillose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A259;Fièvre causée par morsure de rat, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A26;Érysipéloïde;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A260;Érysipéloïde cutanée;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A267;Sepsis à Erysipelothrix;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A268;Autres formes d'érysipéloïde;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A269;Érysipéloïde, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A27;Leptospirose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A270;Leptospirose ictéro-hémorragique;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A278;Autres formes de leptospirose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A279;Leptospirose, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A28;Autres anthropozoonoses bactériennes, non classées ailleurs;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A280;Pasteurellose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A281;Maladie des griffes du chat;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A282;Yersiniose extra-intestinale;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A288;Autres anthropozoonoses bactériennes précisées, non classées ailleurs;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A289;Anthropozoonose bactérienne, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A30;Lèpre [maladie de Hansen];non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A300;Lèpre indéterminée;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A301;Lèpre tuberculoïde;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A302;Lèpre tuberculoïde de type intermédiaire atypique;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A303;Lèpre de type intermédiaire atypique;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A304;Lèpre lépromateuse de type intermédiaire atypique;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A305;Lèpre lépromateuse;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A308;Autres formes de lèpre;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A309;Lèpre, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A31;Infections dues à d'autres mycobactéries;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A310;Infection pulmonaire à mycobactéries atypiques;OUI;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Pneumopathie
A311;Infection cutanée à mycobacteries atypiques;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A318;Autres infections à mycobacteries atypiques;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A319;Infection à mycobacteries atypiques, sans précision;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A32;Listériose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A320;Listériose cutanée;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Mycoses, parasitoses et autres infections cutanées
A321;Méningite et méningo-encéphalite listériennes;OUI;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A327;Sepsis à Listeria;non;Médico-chirurgical;Fièvre et infectiologie générale;Septicémies et sepsis
A328;Autres formes de listériose;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A329;Listériose, sans précision;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A33;Tétanos néonatal;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A34;Tétanos obstétrical;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A35;Autres formes de tétanos;OUI;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A36;Diphtérie;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Angines, amygdalites, rhino-pharyngites, toux
A360;Diphtérie pharyngée;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Angines, amygdalites, rhino-pharyngites, toux
A361;Diphtérie rhinopharyngée;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Angines, amygdalites, rhino-pharyngites, toux
A362;Diphtérie laryngée;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Laryngite, trachéite et autre atteinte laryngée
A363;Diphtérie cutanée;non;Médico-chirurgical;Dermato-allergologie et atteintes cutanéo-muqueuses;Abcès, phlegmons, furoncles,…
A368;Autres formes de diphtérie;non;Médico-chirurgical;Fièvre et infectiologie générale;autres infectiologie générale et sans précision
A369;Diphtérie, sans précision;non;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Angines, amygdalites, rhino-pharyngites, toux
A37;Coqueluche;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Bronchite aiguë et bronchiolite
A370;Coqueluche à Bordetella pertussis;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Bronchite aiguë et bronchiolite
A371;Coqueluche à Bordetella parapertussis;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Bronchite aiguë et bronchiolite
A378;Coqueluche due à d'autres espèces de Bordetella;non;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Bronchite aiguë et bronchiolite
A379;Coqueluche, sans précision;OUI;Médico-chirurgical;Dyspnées, pathologies des voies aériennes inférieures;Bronchite aiguë et bronchiolite
A38;Scarlatine;OUI;Médico-chirurgical;ORL, ophtalmo, stomato et carrefour aéro-digestif;Angines, amygdalites, rhino-pharyngites, toux
A39;Infection à méningocoques;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A390;Méningite à méningocoques (G01*);OUI;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A391;Syndrome de Waterhouse-Friderichsen (E35.1*);non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A392;Méningococcémie aiguë;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A393;Méningococcémie chronique;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A394;Méningococcémie, sans précision;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
A395;Cardite à méningocoques;non;Médico-chirurgical;Douleurs thoraciques, pathologies cardio-vasculaires;autres patho cardio-vasculaires
A398;Autres infections à méningocoques;non;Médico-chirurgical;Céphalées, pathologies neurologiques hors SNP;Méningisme, méningite, encéphalite et infections du SNC
