"CODE ","REGROUPEMENTS ORUMIPS",,,,,,,,,,,
"CIM10","Code Type Urgences","Libéllé Type Urgences","Code Discipline / Topographie","Libellé Discipline / Topographie","Code Type Pathologie","Libéllé Type de Pathologie",,,,,,
"B000","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B001","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B002","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS02","Douleur dentaire"," stomatologie",,,
"B003","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B004","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B005","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"B009","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B010","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B011","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B012","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B018","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B019","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B020","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B021","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B023","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS03","Douleur oculaire"," conjonctivites"," autre ophtalmo",,
"B028","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B029","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B050","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B051","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B052","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B059","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B069","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B081","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B082","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B083","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B084","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS02","Douleur dentaire"," stomatologie",,,
"B09","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO09","Viroses cutanéo-muqueuses",,,,,,
"B150","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B159","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B160","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B161","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B162","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B169","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B171","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B179","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B200","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B202","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B204","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B206","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B209","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B250","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B251","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B258","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B260","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN09","Prostatite"," orchi-épididymite",,,,
"B261","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B262","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B269","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B270","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B271","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B279","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B349","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B358","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO05","Mycoses"," parasitoses et autres infections cutanées",,,,,
"B369","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO05","Mycoses"," parasitoses et autres infections cutanées",,,,,
"B370","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS02","Douleur dentaire"," stomatologie",,,
"B371","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B372","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO05","Mycoses"," parasitoses et autres infections cutanées",,,,,
"B373","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"B375","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B377","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO03","Septicémies et sepsis",,,,,,
"B379","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO05","Mycoses"," parasitoses et autres infections cutanées",,,,,
"B440","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B449","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B49","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B500","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B508","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B509","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B54","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B581","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"B582","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B59","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO09","Pneumopathie",,,,,
"B64","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B680","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"B690","MED-CHIR","Médico-chirurgical","NEURO","Céphalées"," pathologies neurologiques hors SNP","NEURO06","Méningisme"," méningite"," encéphalite et infections du SNC",,,
"B80","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST14","Proctologie",,,,,
"B852","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO05","Mycoses"," parasitoses et autres infections cutanées",,,,,
"B86","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO05","Mycoses"," parasitoses et autres infections cutanées",,,,,
"B89","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B980","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"B99+1","MED-CHIR","Médico-chirurgical","INFECTIO","Fièvre et infectiologie générale","INFECTIO05","autres infectiologie générale et sans précision",,,,,,
"C069","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS08","autre atteinte des voies aéro-digestives sup",,,,
"C140","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS08","autre atteinte des voies aéro-digestives sup",,,,
"C159","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"C169","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"C179","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"C189+8","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"C20","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST14","Proctologie",,,,,
"C210","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST14","Proctologie",,,,,
"C229","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST02","Ascite"," ictère et hépatopathie",,,,
"C23","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST08","Lithiase"," infection et autre atteinte des voies biliaires",,,,
"C249","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST08","Lithiase"," infection et autre atteinte des voies biliaires",,,,
"C259+8","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST12","Pancréatite aiguë et autre atteinte du pancréas",,,,,
"C269","MED-CHIR","Médico-chirurgical","DIGESTIF","Douleurs abdominales"," pathologies digestives","DIGEST15","autres pathologies digestives et alimentaires",,,,,
"C319","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS08","autre atteinte des voies aéro-digestives sup",,,,
"C329","MED-CHIR","Médico-chirurgical","ORLOS","ORL"," ophtalmo"," stomato et carrefour aéro-digestif","ORLOS05","Laryngite"," trachéite et autre atteinte laryngée",,,
"C349","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO11","autre atteinte des voies aériennes inférieures",,,,,
"C383","MED-CHIR","Médico-chirurgical","GAUX","Signes généraux et autres pathologies","GAUX06","autres pathologies et signes généraux",,,,,,
"C419","MED-CHIR","Médico-chirurgical","RHUMATO","Douleurs de membre"," rhumatologie"," orthopédie"," SNP","RHUMATO07","autre rhumato et syst nerveux périphérique",,,
"C459","MED-CHIR","Médico-chirurgical","PNEUMO","Dyspnées"," pathologies des voies aériennes inférieures","PNEUMO11","autre atteinte des voies aériennes inférieures",,,,,
"C469","MED-CHIR","Médico-chirurgical","DERMATO","Dermato-allergologie et atteintes cutanéo-muqueuses","DERMATO10","autre affection dermatologique",,,,,,
"C482","AUTRE","Autre recours","AUTRE","Autres recours aux urgences","AUTRE07","autre recours",,,,,,
"C509","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"C519","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"C52","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"C539","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"C55","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"C56","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN11","Vulvo-vaginites"," salpingites et autre gynécologie",,,,
"C609","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN03","Douleur testiculaire et autre andrologie",,,,,
"C61","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN03","Douleur testiculaire et autre andrologie",,,,,
"C629","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN03","Douleur testiculaire et autre andrologie",,,,,
"C64","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
"C66","MED-CHIR","Médico-chirurgical","UROGEN","Douleurs pelviennes"," pathologies uro-génitales","UROGEN12","autre affection uro-génitale",,,,,
